ruta,sud_frac,sud_n,sud_dens,sud_verdor_p95,sud_verdor_med
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,0.007931495345894097,87,102.898910690842,1.269169807434082,0.012287795543670654
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,0.015396683837061208,135,201.33207264657722,1.4139543771743774,0.005935609340667725
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,0.02352930767920693,255,282.00664872145927,1.6509642601013184,0.050047434866428375
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,0.04170186643237703,288,405.5013009833406,1.888461709022522,-0.02887129783630371
Connecticut/1-2_BANDA/20260824_180416335_iOS.heic,0.01779655442700768,157,215.14276161085743,1.5478590726852417,0.00992843508720398
Connecticut/1-2_BANDA/20260824_180445515_iOS.heic,0.017880857223778204,183,230.35528841615005,1.3976895809173584,-0.05602407455444336
Connecticut/1-2_BANDA/20260824_180533425_iOS.heic,0.02941844318489472,228,331.8690339991092,1.6600009202957153,-0.04466962814331055
Connecticut/1-2_BANDA/20260824_180551649_iOS.heic,0.014979818404985207,172,169.1634669855857,1.3790053129196167,0.014151334762573242
Connecticut/1-2_BANDA/20260824_180714211_iOS.heic,0.01560809983469725,189,241.06650884675824,1.4606618881225586,-0.007642507553100586
Connecticut/1-2_BANDA/20260824_180735332_iOS.heic,0.01843574202260204,197,252.3864613240168,1.5242810249328613,-0.004263877868652344
Connecticut/1-2_BANDA/20260824_180806012_iOS.heic,0.007339774277482382,65,71.45204853023137,1.1106452941894531,0.010658323764801025
Connecticut/1-2_BANDA/20260824_181015122_iOS.heic,0.0222744523029153,293,332.52226650808495,1.6086199283599854,-0.01998448371887207
Connecticut/1-2_BANDA/20260824_181157290_iOS.heic,0.007542844505121777,129,137.16195956593023,1.261092185974121,-0.009493112564086914
Connecticut/1-2_BANDA/20260824_181218203_iOS.heic,0.01649404858659682,220,224.90955057960213,1.4542152881622314,-0.0006518363952636719
Connecticut/1-2_BANDA/20260824_181241109_iOS.heic,0.061050601828836565,352,530.2722164474775,2.1768879890441895,-0.03561079502105713
Connecticut/1-2_BANDA/20260824_181319084_iOS.heic,0.012038540250976991,176,155.11992709363426,1.3096768856048584,-0.01512765884399414
Connecticut/1-2_BANDA/20260824_181339358_iOS.heic,0.014114651061985263,188,242.53307738353251,1.4653977155685425,-0.0002518892288208008
Connecticut/1-2_BANDA/20260824_181448154_iOS.heic,0.055453102293549,207,408.71611802615786,2.095923662185669,-0.05837607383728027
Connecticut/1-2_BANDA/20260824_181537890_iOS.heic,0.004245202620774558,46,40.62394852415844,1.0298935174942017,0.03351140022277832
Connecticut/1-2_BANDA/20260824_181557641_iOS.heic,0.01633073414741798,125,157.1834733523714,1.3763471841812134,0.01784348487854004
Connecticut/1-2_BANDA/20260824_182100913_iOS.heic,0.009551624254901492,125,136.01652219898455,1.307176113128662,0.01876068115234375
Connecticut/1-2_BANDA/20260824_193857982_iOS.heic,0.005331798405957177,78,80.8948211757751,1.1756047010421753,0.011307120323181152
Connecticut/BANDA_CNT/20260824_170437788_iOS.heic,0.012323330461403091,176,161.31693277850084,1.311522364616394,-0.0058269500732421875
Connecticut/BANDA_CNT/20260824_170812555_iOS.heic,0.008534868085837024,124,138.25259864713144,1.2668265104293823,-0.010909557342529297
Connecticut/BANDA_CNT/20260824_171047756_iOS.heic,0.0030298214169238217,48,44.096855067417664,1.0552690029144287,0.0177767276763916
Connecticut/BANDA_CNT/20260824_171828033_iOS.heic,0.008839886772366159,104,122.20500123967574,1.2258466482162476,0.002093791961669922
Connecticut/BANDA_CNT/20260824_172221551_iOS.heic,0.014398208493876212,114,102.1976071416405,1.294342041015625,0.007429838180541992
Connecticut/BANDA_CNT/20260824_172316153_iOS.heic,0.01714863969069469,235,250.8515609905541,1.5196318626403809,-0.006207823753356934
Connecticut/BANDA_CNT/20260824_172401211_iOS.heic,0.01749650517559585,231,235.02312586861902,1.543578028678894,0.042876482009887695
Connecticut/BANDA_CNT/20260824_172645796_iOS.heic,0.02022154501040004,257,248.63348328737968,1.5717235803604126,-0.012621074914932251
Connecticut/BANDA_CNT/20260824_173030045_iOS.heic,0.02524414877919891,247,282.5240031020449,1.6393449306488037,-0.01801323890686035
Connecticut/BANDA_CNT/20260824_173344335_iOS.heic,0.013136062512005034,183,186.97203388791488,1.4511834383010864,0.01244974136352539
Connecticut/BANDA_CNT/20260824_173554869_iOS.heic,0.008041080367772567,108,103.27466758466372,1.2501745223999023,0.005354881286621094
Connecticut/BANDA_CNT/20260824_173634892_iOS.heic,0.05200570812691099,603,697.3258766878062,2.05090069770813,-0.0725633054971695
Connecticut/BANDA_CNT/20260824_173706170_iOS.heic,0.021136833833667913,313,320.25505808587747,1.5908561944961548,-0.005685269832611084
Connecticut/BANDA_CNT/20260824_173851105_iOS.heic,0.03975132465871758,326,443.4800944095661,1.8343929052352905,-0.07316827774047852
Connecticut/BANDA_CNT/20260824_174202419_iOS.heic,0.009846263272262592,162,162.7481532605387,1.3022119998931885,-0.010343551635742188
Connecticut/BANDA_CNT/20260824_174731128_iOS.heic,0.027286633716092138,246,287.9176415097652,1.6342962980270386,-0.014003753662109375
Connecticut/BANDA_CNT/20260824_174842311_iOS.heic,0.010782839414257181,149,157.12890686790416,1.2966413497924805,-0.0023413896560668945
Connecticut/BANDA_CNT/20260824_174917858_iOS.heic,0.008828532999776855,103,105.43059698284245,1.1528246402740479,-0.008642792701721191
Connecticut/BANDA_CNT/20260824_175118621_iOS.heic,0.01582435341169121,212,239.91725118204513,1.45473051071167,-0.010628700256347656
Connecticut/BANDA_CNT/20260824_175249873_iOS.heic,0.005161141497350225,85,103.19854793572551,1.153980016708374,-0.001394033432006836
Connecticut/BANDA_CNT/20260824_175802451_iOS.heic,0.019970857975486415,176,215.50404682315198,1.3964422941207886,-0.022002696990966797
Connecticut/BANDA_CNT/20260824_175834820_iOS.heic,0.008586944612602523,107,118.41771794670318,1.2921476364135742,-0.0034704208374023438
Connecticut/CAPA_CONNECTICUT/20260817_180628742_iOS.jpg,0.006163297832376528,82,100.99728662167772,1.1779515743255615,0.009593963623046875
Connecticut/CAPA_CONNECTICUT/20260817_180654648_iOS.jpg,0.01505448369886973,89,150.54483698869728,1.2850005626678467,-0.010500431060791016
Connecticut/CAPA_CONNECTICUT/20260817_180756944_iOS.jpg,0.00166954985695246,21,33.35922644719473,0.9595417976379395,0.015874385833740234
Connecticut/CAPA_CONNECTICUT/20260817_182042921_iOS.jpg,0.026230951670856234,94,166.87259454930197,1.416043758392334,-0.00812077522277832
Connecticut/CAPA_CONNECTICUT/20260817_182830192_iOS.jpg,0.013717034945918187,71,137.8498911762479,1.221747636795044,-0.026232481002807617
Connecticut/CAPA_CONNECTICUT/20260817_182910886_iOS.jpg,0.027981678238707394,100,254.61035704010368,1.5571281909942627,-0.012794017791748047
