ruta,variedad,clase,largo_pulg,punta_0.25,punta_0.5,punta_1,punta_1.5,punta_2,punta_3,base_0.25,base_0.5,base_1,base_1.5,base_2,base_3
Connecticut/CAPA_CONNECTICUT/20260817_190039960_iOS.jpg,connecticut,capa,12.197106774305691,1.861989146676557,2.400660272302299,3.6791412203476352,4.555344774805267,5.025505225206244,5.990754622837594,1.437293045479676,1.7729426190770907,2.356450817708312,3.0072144547413138,3.791861007953513,5.003086517597067
Connecticut/CAPA_CONNECTICUT/20260817_190100761_iOS.jpg,connecticut,capa,13.355738169736615,2.000556272679362,2.7196232039352948,3.7982237719256307,4.427779450498779,5.079712771136186,6.543200501080218,1.6857782622863509,1.9781782884022288,2.339199866714149,2.9896455879869137,3.7773340714388883,5.349735155187805
Connecticut/CAPA_CONNECTICUT/20260817_190136228_iOS.jpg,connecticut,capa,12.405785524961875,2.2810431842146253,2.8903049549152113,3.705164798374834,4.264832737116978,4.943464137356857,5.983697508943493,1.7163539559676733,1.8723580256618304,2.3256157266682593,3.204823567949493,3.9726003953095144,5.349638651157249
Connecticut/CAPA_CONNECTICUT/20260817_190205475_iOS.jpg,connecticut,capa,13.433286940914762,1.7976813588676783,2.248137534178537,2.8552866536995465,3.4162851160970233,3.9338950925859915,4.85304910047301,1.3499873547718444,1.6912824141568152,3.505823745809753,2.968591283107626,3.304361657849674,4.133976693811088
Connecticut/CAPA_CONNECTICUT/20260817_190230051_iOS.jpg,connecticut,capa,12.63724018491701,1.5476435222502414,2.06341427564621,2.6692155897617345,3.297441771318173,3.880486613717573,4.7567110431605375,1.3906698779299342,1.7722229454024088,2.5135670792439893,3.1628929088855617,3.857730826427197,5.203551397241395
Connecticut/CAPA_CONNECTICUT/20260817_190248074_iOS.jpg,connecticut,capa,15.724734549349595,2.310982704162598,2.7375928019655165,3.7708429776389027,4.57783226720218,5.385520013241933,6.418770531128193,1.7050417671943534,1.8626556062492834,2.4230646069707547,3.0521209969602787,3.634946138694369,5.093408130366227
Connecticut/CAPA_CONNECTICUT/20260817_190334750_iOS.jpg,connecticut,capa,12.537476617301634,2.1757110881394355,2.9403108111743275,3.850410550832749,4.5039129174988854,5.29682356941289,5.928107080788449,1.9060312591750048,2.40095149545834,3.1938624895852192,3.777660884733858,4.415034758633581,5.458451394377084
Connecticut/CAPA_CONNECTICUT/20260817_190352771_iOS.jpg,connecticut,capa,15.336246951551495,2.2207497245278853,2.8938951101796384,3.745932618091847,4.373264255194829,4.958175184397862,6.0797614537436395,1.6153551304134832,1.9974989428602419,2.849051192916673,3.4096016986616733,4.015481037312541,5.316443317923053
Connecticut/CAPA_CONNECTICUT/20260817_190430614_iOS.jpg,connecticut,capa,13.517534624672832,1.8402331342984892,2.19890148578019,2.8945073290117858,3.8142807422013125,4.285719015474978,5.229281698835308,1.525712296880525,1.9754198815288218,2.4006524014061896,2.939340979888522,3.5004462127027844,4.532989376577838
Connecticut/CAPA_CONNECTICUT/20260817_190457451_iOS.jpg,connecticut,capa,15.920672135073639,2.090071289703764,2.7419984505094335,3.887751450826382,4.790165773753463,5.483996901018867,6.562605339905312,2.1153122268874074,2.1781681765770093,2.3376990921538456,3.0120078304718283,3.528215418601859,4.6320647946719475
Connecticut/CAPA_CONNECTICUT/20260817_190523469_iOS.jpg,connecticut,capa,15.5009972615371,1.5724633664920413,2.0215647210334913,3.077743843711656,3.7967929798981244,4.604201822445311,5.906717407292334,1.5301080212510867,1.685650959097106,2.157146724133656,2.627425751295583,3.146142957539394,4.379042861790493
Connecticut/CAPA_CONNECTICUT/20260817_190552969_iOS.jpg,connecticut,capa,16.705637492277013,1.928652214592901,2.6691555314022923,3.700759834256666,4.5078832712666745,5.293019531102017,6.683663144193847,1.952175927573237,2.243935673401274,2.3109950238260732,3.0950338069734906,4.059578930509502,5.3154461096073025
Connecticut/CAPA_CONNECTICUT/20260817_190613770_iOS.jpg,connecticut,capa,12.206788242241297,1.6844160839401445,2.132433479202205,3.0306437169683393,3.6600433464708004,4.223328475294442,4.964732325282591,1.4145179231619014,1.6865913600757205,1.9767151572580999,2.3810184510617423,2.9410404090223645,3.8884026819262014
Connecticut/CAPA_CONNECTICUT/20260817_190633972_iOS.jpg,connecticut,capa,15.250696116148474,2.018452979367355,2.5118527638501136,3.655642488907124,4.440596691493331,5.1582691052864345,6.234777041550341,1.7493258241949412,2.1754958362414922,2.937970759539769,3.655642831119998,4.440596691493331,6.3020759409871605
Connecticut/CAPA_CONNECTICUT/20260817_190656223_iOS.jpg,connecticut,capa,17.239878479604254,2.021545899325404,2.649835903582902,3.6376393540152194,4.492196917533875,5.144028258734736,6.19902606257077,1.6172364456900237,1.9543513748152506,2.605039725015904,3.279269241053483,3.9982954489773723,5.591990386617596
Connecticut/CAPA_CONNECTICUT/20260817_190719393_iOS.jpg,connecticut,capa,14.505641509117615,2.427223691138728,3.034383761471716,4.044429166563626,4.651589065790177,5.483990056761381,6.270210446982549,1.7976813588676783,2.2481637134634216,3.0120013284272167,3.842986242524509,4.832065291445831,6.091150298200805
Connecticut/CAPA_CONNECTICUT/20260817_190815027_iOS.jpg,connecticut,capa,17.82805853865929,2.01891188683181,2.6472592117457556,3.5446245259252094,4.397793389599899,5.115173895811213,6.439763237690104,1.7729518588246973,1.954855625485552,2.6056214869022374,3.1193196280249236,3.7918637456565074,5.093395126277003
Connecticut/CAPA_CONNECTICUT/20260817_190838085_iOS.jpg,connecticut,capa,14.651323420068653,1.4135739289481066,1.951687418695154,2.9611632104577694,3.6338048587585323,4.1953659191213815,5.4311082435065305,1.3254277634209601,1.548615406813293,1.9965301382130591,2.7369490995489323,3.432525854686211,4.46390960134309
Connecticut/CAPA_CONNECTICUT/20260817_190908919_iOS.jpg,connecticut,capa,11.859102094153508,1.2624227800245944,1.6219365684122877,2.181098887632633,2.812310192091712,3.39713899020491,4.298398002468307,1.82158509924494,2.315298008507696,3.1254411319206503,3.9132179062941983,4.478979971902124,5.373640093310127
Connecticut/CAPA_CONNECTICUT/20260817_191156597_iOS.jpg,connecticut,capa,13.386159232699223,1.6833836276983394,2.040936022996903,2.8065964348357304,3.5693856806590643,4.108106769364456,5.163142216616664,1.6180770916157758,2.04285001960294,3.6375633827571217,4.4451659177911695,5.096878511124644,5.905438899993897
